	flight	flight_time	airfare	aircraft	ground_service	airport	airline	distance	abbreviation	ground_fare	quantity	city	flight_no	capacity	meal	restriction	cheapest
flight	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
flight_time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
airfare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aircraft	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ground_service	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
airport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
airline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
distance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abbreviation	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
ground_fare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
quantity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
city	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
flight_no	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
capacity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
restriction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cheapest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
