,flight,flight_time,airfare,aircraft,ground_service,airport,airline,distance,abbreviation,ground_fare,quantity,city,flight_no,capacity,meal,restriction,cheapest
flight,616,193,54,12,12,336,98,40,3,2,21,246,102,7,23,52,61
flight_time,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
airfare,27,4,59,0,2,6,6,2,0,3,6,5,3,3,0,24,33
aircraft,4,0,1,8,1,1,2,0,2,1,1,0,1,1,0,1,0
ground_service,6,0,3,0,36,32,2,4,1,6,0,17,0,0,0,0,1
airport,5,0,0,0,0,13,1,5,0,0,0,13,1,0,0,0,1
airline,23,2,2,1,0,9,31,0,7,0,3,8,1,0,0,0,3
distance,2,0,0,0,0,9,0,10,0,0,0,7,0,0,0,2,0
abbreviation,5,1,6,4,2,4,2,1,23,1,1,2,2,0,1,17,6
ground_fare,0,0,4,0,5,2,0,1,1,6,0,1,0,0,0,1,0
quantity,2,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0
city,2,0,0,0,0,3,1,1,0,0,1,5,1,0,0,0,1
flight_no,7,2,0,0,0,3,4,0,0,0,0,1,9,0,0,0,1
capacity,4,0,0,11,0,1,2,4,5,2,10,0,0,21,0,3,0
meal,2,0,0,0,0,1,4,0,0,0,0,0,4,0,6,0,1
restriction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheapest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
