,Class,Precision,Recall,F1 Score
0,abbreviation,0.5365853658536586,0.8461538461538461,0.6567164179104478
1,aircraft,0.20512820512820512,1.0,0.3404255319148936
2,airfare,0.5086206896551724,0.9672131147540983,0.6666666666666666
3,airline,0.1986754966887417,1.0,0.3314917127071823
4,airport,0.03117505995203837,1.0,0.06046511627906977
5,capacity,0.65625,1.0,0.7924528301886793
6,cheapest,0.0,0.0,0.0
7,city,0.016611295681063124,1.0,0.032679738562091505
8,distance,0.14705882352941177,1.0,0.2564102564102564
9,flight,0.8893740902474527,0.9760383386581469,0.9306930693069307
10,flight_no,0.0743801652892562,1.0,0.13846153846153847
11,flight_time,0.005,1.0,0.009950248756218905
12,ground_fare,0.2857142857142857,0.8571428571428571,0.42857142857142855
13,ground_service,0.6206896551724138,1.0,0.7659574468085106
14,meal,0.2,1.0,0.3333333333333333
15,quantity,0.022727272727272728,0.3333333333333333,0.0425531914893617
16,restriction,0.0,0.0,0.0
