['flight'], ['flight', 'airport', 'aircraft']
['airfare'], ['flight', 'city', 'ground_service']
['flight'], ['flight', 'restriction', 'distance']
['flight'], ['flight', 'abbreviation', 'flight_no']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'flight_time', 'airline']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_time', 'meal']
['flight'], ['flight', 'airport', 'meal']
['flight', 'airfare'], ['airfare', 'flight', 'airport']
['flight'], ['flight', 'airport', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'airport', 'cheapest']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_time', 'flight_no']
['flight'], ['flight', 'city', 'restriction']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'cheapest']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'city', 'flight_no']
['ground_service'], ['ground_service', 'airport', 'flight']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'distance', 'airport']
['flight'], ['meal', 'flight', 'restriction']
['flight'], ['flight', 'city', 'restriction']
['flight'], ['flight', 'cheapest', 'airport']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'cheapest']
['meal'], ['meal', 'flight_no', 'airline']
['meal'], ['meal', 'airline', 'flight_no']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
