	flight	flight_time	airfare	aircraft	ground_service	airport	airline	distance	abbreviation	ground_fare	quantity	city	flight_no	capacity	meal	restriction	cheapest
flight	596	67	24	9	4	319	66	47	0	5	2	491	197	1	14	7	26
flight_time	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
airfare	26	3	55	0	0	26	5	7	0	3	2	21	3	0	0	3	26
aircraft	3	3	1	8	0	1	2	1	0	0	0	2	3	0	0	0	0
ground_service	1	1	0	0	35	29	0	3	0	2	2	33	1	1	0	0	0
airport	9	0	1	0	0	13	2	0	0	0	1	12	0	0	0	0	1
airline	20	0	1	0	0	13	30	1	2	0	1	15	6	0	0	0	1
distance	1	0	0	0	0	9	0	9	0	0	1	9	1	0	0	0	0
abbreviation	2	1	9	4	0	4	6	3	22	1	4	6	2	3	8	3	0
ground_fare	1	0	1	0	6	3	0	0	0	4	1	5	0	0	0	0	0
quantity	3	0	0	2	0	0	3	0	0	0	0	0	1	0	0	0	0
city	3	0	0	0	0	1	3	2	1	0	0	5	0	0	0	0	0
flight_no	5	0	0	0	0	4	5	0	0	0	0	5	8	0	0	0	0
capacity	7	1	1	17	0	1	1	1	1	0	5	5	0	18	2	0	0
meal	2	0	0	0	0	1	4	0	0	0	0	1	4	0	6	0	0
restriction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cheapest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
