,flight,flight_time,airfare,aircraft,ground_service,airport,airline,distance,abbreviation,ground_fare,quantity,city,flight_no,capacity,meal,restriction,cheapest
flight,592,75,27,7,6,328,78,42,0,3,7,481,197,2,14,5,17
flight_time,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
airfare,25,4,56,0,3,22,6,3,2,10,2,19,4,0,1,0,26
aircraft,5,0,1,8,0,1,4,0,0,0,0,3,0,2,0,0,0
ground_service,4,0,0,1,36,33,1,0,0,2,3,26,0,0,0,1,1
airport,8,0,1,0,0,13,2,1,0,1,0,12,0,0,0,1,0
airline,15,2,0,0,0,14,30,0,5,1,1,18,4,0,0,0,0
distance,2,0,0,0,0,10,0,9,0,0,0,9,0,0,0,0,0
abbreviation,4,1,10,2,1,5,4,2,23,1,3,9,2,1,4,4,2
ground_fare,0,1,2,0,6,3,2,0,0,4,1,2,0,0,0,0,0
quantity,2,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0
city,4,2,0,0,0,1,3,0,0,0,0,5,0,0,0,0,0
flight_no,4,0,0,0,0,4,4,1,0,0,0,5,9,0,0,0,0
capacity,4,1,2,19,1,1,4,2,0,0,5,3,1,20,0,0,0
meal,0,0,0,2,0,0,5,0,0,0,0,1,4,0,6,0,0
restriction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheapest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
