,Class,Precision,Recall,F1 Score
0,abbreviation,0.7666666666666667,0.8846153846153846,0.8214285714285714
1,aircraft,0.19047619047619047,1.0,0.32
2,airfare,0.6511627906976745,0.9180327868852459,0.7619047619047619
3,airline,0.2097902097902098,1.0,0.3468208092485549
4,airport,0.029953917050691243,1.0,0.058165548098434
5,capacity,0.8,0.9523809523809523,0.8695652173913043
6,cheapest,0.0,0.0,0.0
7,city,0.008547008547008548,1.0,0.01694915254237288
8,distance,0.15,0.9,0.2571428571428571
9,flight,0.9024390243902439,0.9441786283891547,0.9228371005455963
10,flight_no,0.04090909090909091,1.0,0.07860262008733625
11,flight_time,0.011904761904761904,1.0,0.023529411764705882
12,ground_fare,0.2,0.5714285714285714,0.2962962962962963
13,ground_service,0.6923076923076923,1.0,0.8181818181818182
14,meal,0.24,1.0,0.3870967741935484
15,quantity,0.0,0.0,0.0
16,restriction,0.0,0.0,0.0
