['flight'], ['flight', 'airport', 'city']
['airfare'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'distance', 'flight_no']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'meal']
['flight'], ['flight', 'city', 'airport']
['flight', 'airfare'], ['airfare', 'flight', 'flight_time']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'flight_no', 'aircraft']
['flight'], ['flight', 'distance', 'city']
['flight'], ['flight', 'distance', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['ground_service'], ['airport', 'ground_service', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['flight'], ['meal', 'airline', 'flight_time']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'distance', 'city']
['meal'], ['meal', 'airline', 'flight_no']
['meal'], ['meal', 'airline', 'flight_no']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'distance', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['city', 'distance', 'meal']
['flight'], ['city', 'flight', 'flight_time']
['flight'], ['city', 'flight', 'flight_time']
['flight'], ['flight', 'flight_no', 'airline']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'flight_time', 'distance']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'city', 'airline']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'airline', 'meal']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'city', 'airport']
['airport'], ['airport', 'city', 'flight']
['flight'], ['airport', 'flight', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'flight_no', 'restriction']
['airfare'], ['airfare', 'cheapest', 'ground_fare']
['airline'], ['airline', 'flight', 'airport']
['flight_time'], ['flight', 'flight_time', 'airport']
['flight'], ['meal', 'flight', 'airline']
['flight'], ['flight', 'meal', 'flight_no']
['city'], ['city', 'airline', 'flight']
['airline'], ['airline', 'flight', 'city']
['flight'], ['flight_time', 'meal', 'flight']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'aircraft', 'distance']
['flight'], ['flight', 'flight_time', 'distance']
['flight'], ['flight', 'city', 'ground_service']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'airport', 'city']
['ground_service'], ['airport', 'ground_service', 'city']
['flight'], ['flight', 'airport', 'city']
